,tangram nr,item,grid_val,rot,counts,strength
1,1,BIG-T,7.0,45.0,8,0.04790419161676647
3,1,BIG-T,7.0,225.0,10,0.059880239520958084
4,1,BIG-T,7.0,315.0,17,0.10179640718562874
7,1,BIG-T,17.0,0.0,90,0.5389221556886228
8,1,BIG-T,17.0,180.0,6,0.03592814371257485
18,1,MIDDLE-T,9.0,180.0,9,0.05389221556886228
27,1,PARALL,9.0,45.0,9,0.05389221556886228
36,1,SMALL-T,5.0,45.0,9,0.05389221556886228
51,1,SQUARE,11.0,0.0,9,0.05389221556886228
55,2,BIG-T,2.0,0.0,15,0.05555555555555555
58,2,BIG-T,12.0,180.0,18,0.06666666666666667
59,2,BIG-T,13.0,0.0,88,0.32592592592592595
61,2,MIDDLE-T,6.0,225.0,13,0.04814814814814815
63,2,MIDDLE-T,11.0,0.0,8,0.02962962962962963
64,2,PARALL,11.0,45.0,45,0.16666666666666666
72,2,SMALL-T,22.0,45.0,6,0.022222222222222223
75,2,SQUARE,17.0,0.0,12,0.044444444444444446
76,2,SQUARE,22.0,0.0,65,0.24074074074074073
78,3,BIG-T,8.0,0.0,29,0.11196911196911197
79,3,BIG-T,11.0,135.0,81,0.3127413127413127
80,3,BIG-T,13.0,225.0,14,0.05405405405405406
82,3,BIG-T,17.0,90.0,12,0.04633204633204633
83,3,BIG-T,18.0,225.0,16,0.06177606177606178
88,3,MIDDLE-T,6.0,180.0,22,0.08494208494208494
95,3,PARALL,2.0,45.0,37,0.14285714285714285
96,3,PARALL,8.0,90.0,8,0.03088803088803089
100,3,SMALL-T,1.0,45.0,6,0.023166023166023165
101,3,SMALL-T,3.0,315.0,12,0.04633204633204633
106,3,SQUARE,2.0,0.0,22,0.08494208494208494
110,4,BIG-T,7.0,45.0,6,0.02247191011235955
119,4,BIG-T,13.0,270.0,40,0.149812734082397
125,4,PARALL,11.0,90.0,52,0.1947565543071161
127,4,SMALL-T,2.0,135.0,40,0.149812734082397
128,4,SMALL-T,23.0,0.0,69,0.25842696629213485
129,4,SQUARE,23.0,0.0,60,0.2247191011235955
